Rnd,Pick,Pick Value,Tm,Player,Pos,Age,From,To,AP1,PB,St,wAV,DrAV,wAV vs Expected,wAV vs Expected and Year,Expected,G,Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo,Int,Sk,College/Univ
1,3,2200,HOU,Derek Stingley Jr.,DB,21,2022,2022,0,0,1,3,3,-47.97915858,0.7281690357,2.271830964,9,0,0,0,0,0,0,0,0,0,0,0,35,1,1,LSU
1,4,1800,CIN,Peter Warrick,WR,23,2000,2005,0,0,4,27,25,-19.53621309,-31.53948661,58.53948661,79,0,0,0,0,0,53,360,2,275,2991,18,3,,,Florida St.
1,4,1800,CIN,Justin Smith,DE,21,2001,2014,1,5,14,101,27,54.46378691,42.94543777,58.05456223,221,0,0,0,0,0,0,0,0,0,0,0,615,3,87,Missouri
1,4,1800,BUF,Mike Williams,T,22,2002,2009,0,0,4,24,21,-22.53621309,-33.5401024,57.5401024,59,0,0,0,0,0,0,0,0,0,0,0,,,,Texas
1,4,1800,NYJ,Dewayne Robertson,DT,21,2003,2008,0,0,6,34,31,-12.53621309,-22.99276748,56.99276748,92,0,0,0,0,0,0,0,0,0,0,0,195,,16,Kentucky
1,4,1800,NYG,Philip Rivers,QB,22,2004,2020,0,8,15,149,,102.4637869,92.59135205,56.40864795,244,5277,8134,63440,421,209,383,601,3,0,-9,0,,,,North Carolina St.
1,4,1800,CHI,Cedric Benson,RB,22,2005,2012,0,0,6,36,10,-10.53621309,-19.7831307,55.7831307,96,0,0,0,0,0,1600,6017,32,120,833,1,1,,,Texas
1,4,1800,NYJ,D'Brickashaw Ferguson,T,22,2006,2015,0,3,10,58,58,11.46378691,2.88927543,55.11072457,160,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia
1,4,1800,TAM,Gaines Adams,DE,24,2007,2009,0,0,1,17,17,-29.53621309,-37.3848291,54.3848291,47,0,0,0,0,0,0,0,0,0,0,0,67,2,13.5,Clemson
1,4,1800,LVR,Darren McFadden,RB,21,2008,2017,0,0,4,39,32,-7.536213094,-14.59742351,53.59742351,103,1,4,16,1,0,1302,5421,28,254,2114,5,,,,Arkansas
1,4,1800,SEA,Aaron Curry,LB,23,2009,2012,0,0,3,16,12,-30.53621309,-36.73864045,52.73864045,48,0,0,0,0,0,0,0,0,0,0,0,163,,5.5,Wake Forest
1,4,1800,WAS,Trent Williams,T,22,2010,2022,2,10,12,88,54,41.46378691,36.2038296,51.7961704,163,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma
1,4,1800,CIN,A.J. Green,WR,23,2011,2022,0,7,10,77,71,30.46378691,26.24559015,50.75440985,158,0,0,0,0,0,11,93,0,727,10514,70,,,,Georgia
1,4,1800,MIN,Matt Kalil,T,23,2012,2017,0,1,5,34,29,-12.53621309,-15.59321079,49.59321079,82,0,0,0,0,0,0,0,0,0,0,0,,,,USC
1,4,1800,PHI,Lane Johnson,T,23,2013,2022,2,4,9,70,70,23.46378691,21.71401188,48.28598812,127,0,0,0,0,0,0,0,0,1,5,1,,,,Oklahoma
1,4,1800,BUF,Sammy Watkins,WR,21,2014,2022,0,0,6,43,20,-3.536213094,-3.796750563,46.79675056,111,0,1,0,0,1,11,76,0,364,5384,34,1,,,Clemson
1,4,1800,LVR,Amari Cooper,WR,21,2015,2022,0,4,8,58,23,11.46378691,12.92476064,45.07523936,125,0,1,0,0,1,14,41,0,595,8236,55,2,,,Alabama
1,4,1800,DAL,Ezekiel Elliott,RB,21,2016,2022,1,3,7,64,64,17.46378691,20.95145661,43.04854339,103,1,1,4,0,0,1881,8262,68,305,2336,12,2,,,Ohio St.
1,4,1800,JAX,Leonard Fournette,RB,22,2017,2022,0,0,5,38,19,-8.536213094,-2.605668975,40.60566898,79,0,2,0,0,1,1132,4478,34,312,2219,7,1,,,LSU
1,4,1800,CLE,Denzel Ward,DB,21,2018,2022,0,2,5,28,28,-18.53621309,-9.566685358,37.56668536,66,0,0,0,0,0,0,0,0,0,0,0,193,13,0.5,Ohio St.
1,4,1800,LVR,Clelin Ferrell,DE,22,2019,2022,0,0,2,12,12,-34.53621309,-21.61378996,33.61378996,58,0,0,0,0,0,0,0,0,0,0,0,58,,10,Clemson
